회사명,채용중,기업규모,산업분야,존속기간,CEO,세부정보
비테스코테크놀로지스코리아유한책임회사,1,"대기업,1000대기업",자동차 엔진용 신품 부품 제조업,38년차,김준석,"프리한 복장 가능, 평균 연령 30대, 성과급 연 1회, 커리어 발전 기회, 필요할 때 회의"
(주)사람인,2,중견기업,포털 및 기타 인터넷 정보매개 서비스업,20년차,황현순,"자유로운 출근, 커리어 발전 기회, 평균 연령 30대, 평균근속 2~5년, 프리한 복장 가능"
세아상역(주),,"대기업,1000대기업",남자용 겉옷 제조업,10년차,문성미,"정시출근, 프리한 복장 가능, 평균 연령 30대, 커리어 발전 기회, 성과급 연 1회"
(주)동구바이오제약,2,,완제 의약품 제조업,42년차,조용준,"정시출근, 프리한 복장 가능, 필요할 때 회의, 연차 모두 소진, 평균 연령 30대"
(주)네패스,3,"중견기업,1000대기업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",35년차,이병구/이창우,"정시출근, 프리한 복장 가능, 필요할 때 회의, 평균 연령 30대, 워라밸 Good"
샘표(주),1,중견기업,지주회사,54년차,박진선,"커리어 발전 기회, 정기적 회의 진행, 평균 연령 30대, 정시출근, 프리한 복장 가능"
(주)서흥,5,중견기업,완제 의약품 제조업,52년차,양주환,"정시출근, 프리한 복장 가능, 워라밸 Good, 성과급 연 2~3회, 필요할 때 회의"
(주)프로에스콤,61,중견기업,경비 및 경호 서비스업,32년차,신양주/서영자,"정시출근, 필요할 때 회의, 평균근속 2년 미만, 야근없는 기업, 워라밸 Excellent"
(주)케이씨씨,,"대기업,1000대기업",일반용 도료 및 관련제품 제조업,67년차,정몽진/정재훈,"정시출근, 성과급 연 1회, 커리어 발전 기회, 워라밸 Good, 프리한 복장 가능"
(주)신세계,,"대기업,1000대기업",백화점,70년차,박주형,"커리어 발전 기회, 필요할 때 회의, 일하면서 성장, 평균근속 10년 이상, 자유로운 연차"
볼보그룹코리아(주),,"대기업,1000대기업",건설 및 채광용 기계장비 제조업,27년차,앤드류마크나이트,"프리한 복장 가능, 필요할 때 회식, 워라밸 Excellent, 성과급 연 1회, 커리어 발전 기회"
씨제이올리브네트웍스(주),,"대기업,1000대기업",컴퓨터시스템 통합 자문 및 구축 서비스업,30년차,유인상,"프리한 복장 가능, 필요할 때 회의, 평균근속 2~5년, 정시출근, 워라밸 Good"
